title,company,salary,location,description,skills,url,crawl_time
Business Intelligence Analyst (Supply Chain & Logistics),Công Ty Cổ Phần Elmich,20tr-25tr ₫/tháng Urgent,HN,"We are looking for a Senior Business Intelligence Analyst to support data-driven decision making across supply chain and logistics in a retail and manufacturing environment. This role focuses on delivering actionable insights from ERP, WMS, and APS data using modern BI and cloud technologies. – Develop and maintain Power BI dashboards and reports for supply chain and logistics performance. – Define and track key KPIs (inventory turns, forecast accuracy, logistics cost, lead time). – Analyze data from ERP, WMS systems to support planning, purchasing, warehousing, and distribution. – Work with data engineers on GCP-based data models and pipelines.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Urgent, Hà Nội, Hậu cần/Giao nhận, Data-Driven, Google Cloud Platform, Power BI, Supply Chain, Translate",https://www.vietnamworks.com/business-intelligence-analyst-supply-chain-and-logistics-2057821-jv,2026-05-24 16:40:58.470698
Embedded Software Developer (AUTOSAR Classic) (1 Year contract),Bosch Global Software Technologies Company Limited,Embedded Software Developer (AUTOSAR Classic) (1 Year contract),HCM,"This position will be contracted through Bosch’s external vendor under a one-year agreement. •	Develop and maintain embedded software for automotive systems, based on AUTOSAR Classic. •	Collaborate with cross-functional teams to ensure seamless integration of software components. •	Conduct code reviews and ensure best practices are followed in software development. •	Optimize software performance and memory usage for resource-constrained embedded systems.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, Phần Mềm Máy Tính, Embedded, Embedded Testing, Component Testing, System Testing, Intel Products Vietnam",https://www.vietnamworks.com/embedded-software-developer-autosar-classic-1-year-contract--2057853-jv,2026-05-24 16:41:00.803426
Senior Data Engineer (AI / ADAS Data Loop) (1 Year contract),Bosch Global Software Technologies Company Limited,Senior Data Engineer (AI / ADAS Data Loop) (1 Year contract),HCM,"This position will be contracted through Bosch’s external vendor under a one-year agreement. The EDS department focuses on software tooling development to support embedded products in the Advanced Driver Assistance System (ADAS) domain. We develop tools that streamline software and system development for technologies such as radar, video, and ultrasonic sensors. Serving global teams across Japan, China, Europe, and Vietnam, we contribute to the advancement of secure, safe, and intelligent mobility solutions. We are seeking a skilled Senior Data Engineer to build and optimize scalable data pipelines supporting AI/ADAS development. The role focuses on end-to-end data loop management, data labeling workflows, and high-quality data handling to enable robust machine learning systems. - Design and maintain scalable data pipelines for large-scale sensor data (camera, radar, lidar). - Manage and optimize the AI data loop: data collection → preprocessing → labeling → validation → model feedback.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, Khoa Học & Kỹ Thuật, Kỹ Thuật Ô Tô, Python, Data Engineer, Pandas, Senior Data Scientist",https://www.vietnamworks.com/senior-data-engineer-ai-adas-data-loop-1-year-contract--2057850-jv,2026-05-24 16:41:08.259299
Embedded Project Manager (Japanese Or Chinese Speaking),Bosch Global Software Technologies Company Limited,Thương lượng,HCM,"Bosch Cross-Domain Computing & ADAS (XC-CP) Team is looking for full-time Software Project Manager (SW PCM) working at Ho Chi Minh City, Vietnam. The XC-CP Team develops high-quality, state-of-the-art Automotive Head Unit and Home Appliance Linux/Android-based systems. Together with other Bosch locations worldwide, we provide software solutions for navigation, vehicle functions, autonomous driving, camera, and IoT features to the car marker. Our team also contributes to Bosch smart home & IoT solutions through SW delivery to Home Appliance products. Position Overview:We are seeking a highly skilled and experienced Software Project Manager (SW PCM) to join our In-Vehicle Infotainment (IVI) development team: • Join the software development of the latest generation of IVI for a well-known • Work directly with top automotive experts from Bosch Japan, China, India and Germany • Exposure to state-of-the-art technologies in Automotive industry","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, Quản Lý Dự Án Công Nghệ, Embedded Software, Japanese Speaking, Project Management, Automotive, (Xem bản đồ)",https://www.vietnamworks.com/embedded-project-manager-japanese-or-chinese-speaking-2057849-jv,2026-05-24 16:41:09.828527
Senior SAP MM Consultant,Bosch Global Software Technologies Company Limited,Thương lượng,HCM,"• Implement new business change request based on current solutions. • Consult and make sure daily operation run smoothly and effectively. • Quality delivery of services committed to the customer as per defined SLA and KPI’s. • Ensure customer satisfaction in the Services Delivered and Continuous improvement of services. • Analyze customer requirements, identify gaps and solutions to these gaps.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, Requirements Analysis, SAP Configuration, SAP Material Management, Sap Mm, Senior SAP MM Consultant, (Xem bản đồ)",https://www.vietnamworks.com/senior-sap-mm-consultant-2057846-jv,2026-05-24 16:41:17.760401
Business Development Specialist,Bosch Global Software Technologies Company Limited,Thương lượng,HCM,"•	Intensively source leads, prospects and opportunities •	Identify the potential clients in the APAC market – especially VN market, conduct market research (i.e: existing and potential customers, competitors and their activities, similar products, etc.) •	Promote awareness of services among existing and potential business customers. •	Handle prospects and close sales through meetings, presentations, and timely follow-up actions •	Capture and address expectations from prospects and partners","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, Kinh Doanh, Business Development, Technology Consulting, Enterprise Sales, Erp Sales Experience, Frasers Property Vietnam",https://www.vietnamworks.com/business-development-specialist--2057845-jv,2026-05-24 16:41:20.482163
Senior SAP SD Consultant,Bosch Global Software Technologies Company Limited,Thương lượng,HCM,"• Drive and lead SD team to build up required competency (both S4 HANA & ECC) • Lead or participate in full life cycle implementation/rollout project, from business assessment to the final delivery of SAP SD solution for customers. • Implement new business change request based on current solutions • Consult and make sure daily operation run smoothly and effectively • Quality delivery of services committed to the customer as per defined SLA and KPI’s.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, Quản Lý Dự Án Công Nghệ, OTC, SAP, SAP ABAP, Senior SAP SD Consultant, FPT Software",https://www.vietnamworks.com/senior-sap-sd-consultant-2057839-jv,2026-05-24 16:41:27.962480
Senior QA/QC Automation Tester,Bosch Global Software Technologies Company Limited,Thương lượng,HCM,"This position will be contracted through Bosch’s external vendor under a one-year agreement. •Product Requirement:Analyze product requirements and design documents, contributing expertise to ensure comprehensive and accurate documentation. •Test Case:Conduct comprehensive reviews of test scenarios, test cases, and test scripts to ensure thorough coverage, accuracy, and adherence to best practices. •Test Execution: Design, develop, and maintain robust and scalable automation frameworks and scripts using Playwright with Python, along with manual testing as a hybrid Tester; drive continuous integration and continuous delivery (CI/CD) practices for automated tests; conduct performance tests. •Test Monitoring & Report:Monitor, analyze, and report on test results, identifying trends and areas for improvement.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Urgent, Hồ Chí Minh, Trang Văn hóa công ty, QA/QC/Software Testing, Project Management, Time Management, Playwright Python, Typescript",https://www.vietnamworks.com/senior-qaqc-automation-tester-2038632-jv,2026-05-24 16:41:31.171823
Iqc / Oqc Quality Manager (Chinese & English Required),Navigos Search's Client,Thương lượng,HN,"We are currently recruiting for an IQC/OQC Quality Assurance Section Manager/Leader for a large-scale automation manufacturing project based at Intech VSIP. This position will be responsible for establishing and managing the quality control system for incoming materials and outgoing products, ensuring product quality, supplier quality management, and customer delivery standards across the manufacturing process. • Establish and manage IQC/OQC quality control systems and related operational standards. • Build supplier quality management and supplier risk rating systems for incoming materials control. • Handle incoming quality issues, lead MRB (Material Review Board) processes, and manage traceability systems for approved materials.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Head hunter, Bắc Ninh, Hà Nội, QA/QC/Software Testing, Sản xuất, Quality Assurance, Problem Solving, Process Development, Communication",https://www.vietnamworks.com/iqc-oqc-quality-manager-chinese-and-english-required-2057832-jv,2026-05-24 16:41:36.997728
Senior Software Engineer,Metizoft Asia Pte Ltd,42tr-48tr ₫/tháng,HCM,"We are looking for a Full Stack Software Developer that loves problem solving and wants to be a part of an empowered product team that drives customer and end-user value. At Metizoft, we are on a mission to build great products that provide sustainable solutions for the maritime industry. Through our offerings, we enable our clients to make sustainable decisions that drive progress toward a cleaner and greener industry. As an international pioneer in sustainable maritime solutions, Metizoft is a global market leader in Inventory of Hazardous Materials (IHM) and provide a range of critical services, including IHM inspections, IHM maintenance and documentation, asbestos removal, chemical management, ship recycling supervision and ESG services. Now, we are expanding our product teams and seeking a talented Full-Stack Developer to help us enhance our product offerings and value to our global clients. This is your opportunity to work in one of our great product teams creating environmental sustainability in one of the world’s most critical industries. Join us in building the future of sustainable maritime solutions!","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Phần Mềm Máy Tính, Azure, C# (.NET Core), Typescript, CosmosDB, SQL Server, Metizoft Asia Pte Ltd",https://www.vietnamworks.com/senior-software-engineer-2051023-jv,2026-05-24 16:41:39.024697
